"ID","Diet","WeightChange"
197,"Zone",-16.31420739
198,"Zone",-16.09374513
199,"Zone",-14.66074042
200,"Zone",-13.44819798
201,"Zone",-13.22773572
202,"Zone",-13.11750459
203,"Zone",-12.67658007
204,"Zone",-12.23565554
205,"Zone",-10.25149518
206,"Zone",-9.479877266
207,"Zone",-9.479877266
208,"Zone",-9.259415004
209,"Zone",-8.377565956
210,"Zone",-7.936641432
211,"Zone",-7.826410301
212,"Zone",-7.71617917
213,"Zone",-6.172943336
214,"Zone",-5.842249943
215,"Zone",-5.621787681
216,"Zone",-4.629707502
217,"Zone",-4.40924524
218,"Zone",-4.188782978
219,"Zone",-3.858089585
220,"Zone",-3.747858454
221,"Zone",-3.747858454
222,"Zone",-2.535316013
223,"Zone",-2.425084882
224,"Zone",-2.20462262
225,"Zone",-2.20462262
226,"Zone",-2.094391489
227,"Zone",-1.873929227
228,"Zone",0.330693393
229,"Zone",0.661386786
230,"Zone",1.984160358
231,"Zone",2.314853751
232,"Zone",4.629707502
233,"Zone",4.629707502
234,"Zone",5.070632026
235,"Zone",5.732018812
236,"Zone",7.054792384
237,"Zone",7.385485777
238,"Zone",7.936641432
239,"Zone",8.598028218
240,"Zone",9.92080179
241,"Zone",10.91288197
242,"Zone",12.4561178
243,"Zone",12.67658007
244,"Zone",13.44819798
245,"Zone",13.99935364
246,"Zone",14.2198159
247,"Zone",15.10166495
