ID,Age
1049,28
1050,40
1051,39
1052,12
1053,9
1054,76
1055,44
1056,37
1057,51
1058,47
1059,44
1060,45
1061,14
1062,10
1063,84
1064,54
1065,16
1066,27
1067,30
1068,5
1069,3
1070,57
1071,75
1072,74
1073,30
1074,26
1075,51
1076,58
1077,30
1078,23
1079,13
1080,9
1081,66
1082,7
1083,57
1084,51
1085,24
1086,22
1087,49
1088,48
1089,22
1090,20
1091,17
1092,78
1093,47
1094,28
1095,24
1096,16
1097,14
1098,44
1099,44
1100,11
1101,74
1102,35
1103,32
1104,46
1105,1
1106,65
1107,68
1108,38
1109,29
1110,56
1111,54
1112,31
1113,30
1114,8
1115,3
1116,26
1117,24
1118,51
1119,40
1120,15
1121,9
1122,54
1123,56
1124,31
1125,26
1126,51
1127,42
1128,43
1129,20
1130,18
1131,14
1132,67
1133,77
1134,29
1135,26
1136,42
1137,18
1138,16
1139,11
1140,33
1141,51
1142,26
1143,21
1144,2
1145,45
1146,67
1147,59
1148,24
1149,20
1150,44
1151,45
1152,7
1153,4
1154,32
1155,35
1156,5
1157,83
1158,38
1159,18
1160,16
1161,12
1162,20
1163,0
1164,56
1165,30
1166,24
1167,22
1168,65
1169,62
1170,67
1171,60
1172,31
1173,27
1174,23
1175,19
1176,32
1177,44
1178,39
1179,14
1180,43
1181,7
1182,33
1183,9
1184,64
1185,24
1186,65
1187,46
1188,38
1189,9
1190,6
1191,60
1192,55
1193,31
1194,26
1195,22
1196,32
1197,68
1198,48
1199,30
1200,28
1201,27
1202,22
1203,34
1204,40
1205,10
1206,6
1207,58
1208,84
1209,68
1210,47
1211,43
1212,34
1213,32
1214,64
1215,56
1216,25
1217,22
1218,19
1219,19
1220,59
1221,35
1222,38
1223,11
1224,5
1225,33
1226,9
1227,56
1228,45
1229,24
1230,21
1231,15
1232,68
1233,68
1234,35
1235,30
1236,26
1237,34
1238,5
1239,4
1240,50
1241,53
1242,28
1243,24
1244,22
1245,19
1246,17
1247,41
1248,35
1249,11
1250,11
1251,4
1252,39
1253,39
1254,15
1255,10
1256,45
1257,45
1258,23
1259,20
1260,18
1261,13
1262,59
1263,51
1264,26
1265,25
1266,23
1267,64
1268,58
1269,45
1270,13
1271,10
1272,43
1273,44
1274,19
1275,7
1276,61
1277,43
1278,32
1279,8
1280,7
1281,34
1282,4
1283,38
1284,18
1285,16
1286,5
1287,40
1288,59
1289,0
1290,27
1291,25
1292,22
1293,21
1294,28
1295,41
1296,51
1297,15
1298,12
1299,70
1300,46
1301,41
1302,36
1303,50
1304,24
1305,52
1306,48
1307,13
1308,62
1309,46
1310,19
1311,15
1312,8
1313,44
1314,22
1315,19
1316,16
1317,68
1318,39
1319,47
1320,15
1321,5
1322,35
1323,34
1324,11
1325,9
1326,6
1327,66
1328,60
1329,39
1330,35
1331,54
1332,61
1333,23
1334,31
1335,33
1336,1
1337,46
1338,44
1339,24
1340,21
1341,19
1342,17
1343,92
1344,81
1345,51
1346,59
1347,27
1348,24
1349,22
1350,20
1351,19
1352,14
1353,48
1354,47
1355,23
1356,73
1357,40
1358,19
1359,69
1360,46
1361,36
1362,32
1363,44
1364,43
1365,17
1366,14
1367,72
1368,64
1369,35
1370,29
1371,2
1372,45
1373,38
1374,82
1375,37
1376,25
1377,22
1378,40
1379,46
1380,20
1381,18
1382,16
1383,14
1384,19
1385,28
1386,29
1387,1
1388,19
1389,18
1390,88
1391,61
1392,55
1393,32
1394,31
1395,25
1396,22
1397,46
1398,62
1399,60
1400,49
1401,31
1402,31
1403,2
1404,70
1405,46
1406,53
1407,48
1408,21
1409,20
1410,69
1411,66
1412,39
1413,38
1414,35
1415,33
1416,13
1417,8
1418,62
1419,30
1420,30
1421,36
1422,28
1423,17
1424,1
1425,0
1426,52
1427,55
1428,28
1429,24
1430,18
1431,17
1432,14
1433,9
1434,57
1435,55
1436,40
1437,38
1438,11
1439,77
1440,30
1441,33
1442,7
1443,5
1444,71
1445,34
1446,67
1447,33
1448,32
1449,7
1450,5
1451,12
1452,35
1453,35
1454,6
1455,51
1456,10
1457,6
1458,43
1459,39
1460,14
1461,12
1462,7
1463,42
1464,31
1465,3
1466,2
1467,40
1468,36
1469,12
1470,5
1471,73
1472,34
1473,29
1474,10
1475,5
1476,0
1477,53
1478,53
1479,27
1480,24
1481,51
1482,39
1483,15
1484,13
1485,72
1486,49
1487,48
1488,18
1489,46
1490,54
1491,19
1492,12
1493,9
1494,75
1495,43
1496,62
1497,59
1498,35
1499,34
1500,35
1501,15
1502,14
1503,38
1504,34
1505,5
1506,3
1507,57
1508,61
1509,29
1510,26
1511,4
1512,55
1513,32
1514,29
1515,27
1516,25
1517,24
1518,21
1519,17
1520,5
1521,3
1522,38
1523,38
1524,14
1525,12
1526,10
1527,7
1528,80
1529,41
1530,56
1531,38
1532,21
1533,47
1534,42
1535,56
1536,32
1537,29
1538,27
1539,24
1540,22
1541,30
1542,11
1543,1
1544,21
1545,1
1546,53
1547,56
1548,32
1549,24
1550,21
1551,16
1552,20
1553,1
1554,63
1555,46
1556,18
1557,17
1558,16
1559,14
1560,11
1561,7
1562,49
1563,22
1564,53
1565,22
1566,27
1567,3
1568,50
1569,45
1570,23
1571,21
1572,20
1573,18
1574,16
1575,43
1576,41
1577,25
1578,20
1579,17
1580,67
1581,41
1582,45
1583,15
1584,46
1585,40
1586,19
1587,4
1588,66
1589,40
1590,30
1591,25
1592,25
1593,21
1594,49
1595,63
1596,20
1597,18
1598,13
1599,66
1600,58
1601,34
1602,26
1603,5
1604,58
1605,22
1606,19
1607,35
1608,37
1609,11
1610,9
1611,58
1612,56
1613,31
1614,28
1615,24
1616,18
1617,48
1618,26
1619,23
1620,22
1621,21
1622,17
1623,14
1624,31
1625,2
1626,54
1627,29
1628,27
1629,48
1630,51
1631,27
1632,19
1633,17
1634,15
1635,39
1636,40
1637,4
1638,3
1639,29
1640,0
1641,30
1642,41
1643,32
1644,9
1645,5
1646,54
1647,46
1648,21
1649,19
1650,18
1651,39
1652,40
1653,16
1654,14
1655,49
1656,47
1657,26
1658,24
1659,21
1660,23
1661,25
1662,24
1663,5
1664,4
1665,61
1666,38
1667,27
1668,31
1669,5
1670,54
1671,27
1672,30
1673,37
1674,37
1675,17
1676,12
1677,7
1678,56
1679,49
1680,26
